"","KitID","SampleID","Date","Barcodes","SampleType"
"1953","UBMkid807104674","69-104-6011","8/11/15","NA0009404691","Mouth"
"1954","UBMkid807104677","69-068-03","3/3/15","NA0009404716","Mouth"
"1955","UBMkid807104937","69-053-1021","5/14/15","NA0008343197","Mouth"
"1956","UBMkid807105326","69-039-08","7/6/16","NA0011531055","Mouth"
"1957","UBMkid807127857","69-076-03","10/29/15","NA0008948545","Skin"
"1958","UBMkid807129178","69-091-06","9/9/16","NA0011470362","Skin"
"1959","UBMkid807129213","69-036-12","8/17/16","NA0008948953","Skin"
"1960","UBMkid807129843","69-012-11","10/21/16","NA0008949680","Skin"
"1961","UBMkid808104964","70-1015-6035","10/29/15","NA0008343184","Mouth"
"1962","UBMkid808105528","69-023-6024","4/16/15","NA0008362563","Mouth"
"1963","UBMkid808127520","69-053-8012","4/13/16","NA0008933406","Mouth"
"1964","UBMkid808127613","69-100-6036","10/13/16","NA0008933548","Mouth"
"1965","UBMkid808128606","69-091-07","2/3/17","NA0008898421","Skin"
"1966","UBMkid808129075","69-069-6032","5/2/16","NA0008949713","Skin"
"1967","UBMkid808129372","70-1001-2032","10/27/16","NA0008948924","Skin"
"1968","UBMkid809105773","69-083-01","3/25/15","NA0008362520","Mouth"
"1969","UBMkid809128194","69-071-04","8/27/15","NA0008899192","Skin"
"1970","UBMkid809819255","70-1005-17","3/5/18","NA0014723255","Skin"
"1971","UBMkid809819537","69-035-16","11/28/17","NA0014723268","Skin"
"1972","UBMkid810105175","69-064-6014","4/16/15","NA0008343211","Mouth"
"1973","UBMkid810128707","69-036-13","1/27/17","NA0008898615","Skin"
"1974","UBMkid810129733","69-100-6034","10/3/16","NA0011470376","Skin"
"1975","UBMkid811128126","69-043-08","12/16/15","NA0011524490","Skin"
"1976","UBMkid811128643","69-123-6051","2/28/17","NA0008898419","Skin"
"1977","UBMkid811128696","69-086-05","4/5/17","NA0008898403","Skin"
"1978","UBMkid812104821","69-064-6023","7/2/15","NA0008362400","Mouth"
"1979","UBMkid812105430","69-090-1013","7/5/16","NA0011531051","Mouth"
"1980","UBMkid812128560","70-1008-6015","2/9/17","NA0008898423","Skin"
"1981","UBMkid812128609","69-053-5012","9/8/17","NA0008898619","Skin"
"1982","UBMkid812128646","69-114-03","2/3/17","NA0008898594","Skin"
"1983","UBMkid813127595","69-069-6031","4/25/16","NA0008933574","Mouth"
"1984","UBMkid813128026","69-001-7056","6/1/17","NA0008948217","Skin"
"1985","UBMkid813129150","69-123-6037","9/19/16","NA0011470352","Skin"
"1986","UBMkid813129215","69-100-6035","10/6/16","NA0011470335","Skin"
"1987","UBMkid814105106","69-048-06","6/10/15","NA0008333221","Mouth"
"1988","UBMkid814105702","69-064-03","1/28/15","NA0008352995","Mouth"
"1989","UBMkid814127765","69-021-04","6/6/14","NA0008948345","Skin"
"1990","UBMkid814129168","69-064-10","10/7/16","NA0008948910","Skin"
"1991","UBMkid814819552","69-001","1/12/15","NA0014723367","Skin"
"1992","UBMkid815105305","69-080-04","2/19/16","NA0008948871","Mouth"
"1993","UBMkid815105500","69-023-6021","3/26/15","NA0008352992","Mouth"
"1994","UBMkid815105580","69-001-7024","3/10/16","NA0008352978","Mouth"
"1995","UBMkid815127497","69-001-7022","2/24/16","NA0008943451","Mouth"
"1996","UBMkid815127755","70-1004-1012","11/4/13","NA0008898549","Skin"
"1997","UBMkid815128098","69-028-6034","10/19/15","NA0008899162","Skin"
"1998","UBMkid815129737","69-058-10","10/27/16","NA0008949696","Skin"
"1999","UBMkid815129790","69-037-14","11/18/16","NA0008949693","Skin"
"2000","UBMkid816127853","70-1004-07","2/12/14","NA0008948198","Skin"
"2001","UBMkid817105414","69-001-7044","11/22/16","NA0011531048","Mouth"
"2002","UBMkid817105670","69-053-6025","3/10/16","NA0008362555","Mouth"
"2003","UBMkid817127999","69-122-2011","10/20/17","NA0008948221","Skin"
"2004","UBMkid817128184","69-064-6034","10/5/15","NA0008942176","Skin"
"2005","UBMkid817128796","69-126-01","1/19/17","NA0008898417","Skin"
"2006","UBMkid818105481","69-053-6031","11/8/16","NA0011531061","Mouth"
"2007","UBMkid819128772","69-100-04","2/14/17","NA0008898433","Skin"
"2008","UBMkid820128744","70-1010-6032","1/31/17","NA0008898614","Skin"
"2009","UBMkid820129182","69-001-7042","10/4/16","NA0011470340","Skin"
"2010","UBMkid821104965","69-071-03","5/8/15","NA0008333228","Mouth"
